time,vehicle,lane,pos,speed,leader,lagger,left_leader,left_lagger,right_leader,right_lagger,following_light
9,0,0,30,29,null,null,null,null,null,null,1
10,0,0,65,35,null,null,null,null,null,null,1
11,0,0,105,40,null,null,null,null,null,null,1
12,0,0,143,38,null,null,null,null,null,null,1
13,0,0,143,0,null,null,null,null,null,null,1
14,0,0,149,6,null,null,null,null,null,null,2
15,0,0,152,3,null,null,null,null,null,null,2
16,0,0,152,0,null,null,null,null,null,null,2
17,0,0,158,6,null,null,null,null,null,1,2
17,1,1,21,20,null,null,0,null,null,null,1
18,0,0,170,12,null,null,null,null,null,1,2
18,1,1,47,26,null,null,0,null,null,null,1
19,0,0,179,9,null,null,null,null,null,1,2
19,1,1,79,32,null,null,0,null,null,null,1
20,0,0,185,6,null,null,null,null,null,1,2
20,1,1,117,38,null,null,0,null,null,null,1
21,0,0,197,12,null,null,null,null,null,1,2
21,1,1,157,40,null,2,0,null,null,null,2
21,2,1,30,29,1,null,0,null,null,null,1
22,0,0,215,18,null,null,null,null,null,1,2
22,1,1,197,40,null,2,0,null,null,null,2
22,2,1,65,35,1,null,0,null,null,null,1
23,1,1,237,40,null,2,null,0,null,null,2
23,0,0,230,15,null,null,null,null,1,2,2
23,2,1,105,40,1,null,0,null,null,null,1
24,1,1,277,40,null,2,null,0,null,null,2
24,0,0,251,21,null,null,null,null,1,2,2
24,2,1,145,40,1,null,0,null,null,null,null
25,1,1,314,37,null,2,null,0,null,null,2
25,0,0,278,27,null,null,null,null,1,2,2
25,2,1,185,40,1,null,0,null,null,null,null
26,1,1,354,40,null,2,null,0,null,null,2
26,0,0,311,33,null,null,null,null,1,2,2
26,2,1,225,40,1,null,0,null,null,null,null
27,1,1,391,37,null,2,null,0,null,null,2
27,0,0,350,39,null,null,null,null,1,2,2
27,2,1,265,40,1,null,0,null,null,null,null
28,1,1,425,34,null,2,null,0,null,null,2
28,0,0,390,40,null,null,null,null,1,2,2
28,2,1,302,37,1,null,0,null,null,null,null
29,1,1,465,40,null,2,null,0,null,null,2
29,0,0,430,40,null,3,null,null,1,2,2
29,2,1,342,40,1,null,0,3,null,null,null
29,3,0,21,20,0,null,null,null,2,null,1
30,1,1,505,40,null,2,null,0,null,null,2
30,0,0,470,40,null,3,null,null,1,2,2
30,2,1,382,40,1,null,0,3,null,null,null
30,3,0,47,26,0,null,null,null,2,null,1
31,1,1,542,37,null,2,null,0,null,null,2
31,0,0,507,37,null,3,null,null,1,2,2
31,2,1,422,40,1,null,0,3,null,null,null
31,3,0,79,32,0,null,null,null,2,null,1
32,1,1,576,34,null,2,null,0,null,null,2
32,0,0,541,34,null,3,null,null,1,2,2
32,2,1,462,40,1,null,0,3,null,null,null
32,3,0,117,38,0,null,null,null,2,null,1
33,1,1,616,40,null,2,null,0,null,null,2
33,0,0,581,40,null,3,null,null,1,2,2
33,2,1,502,40,1,null,0,3,null,null,null
33,3,0,157,40,0,null,null,null,2,null,null
34,1,1,653,37,null,2,null,0,null,null,2
34,0,0,621,40,null,3,null,null,1,2,2
34,2,1,542,40,1,null,0,3,null,null,null
34,3,0,197,40,0,null,null,null,2,null,null
35,1,1,693,40,null,2,null,0,null,null,3
35,0,0,658,37,null,3,null,null,1,2,2
35,2,1,582,40,1,null,0,3,null,null,2
35,3,0,234,37,0,null,null,null,2,null,null
36,1,1,730,37,null,2,null,0,null,null,3
36,0,0,698,40,null,3,null,null,1,2,3
36,2,1,622,40,1,null,0,3,null,null,2
36,3,0,274,40,0,null,null,null,2,null,2
37,1,1,770,40,null,2,null,0,null,null,3
37,0,0,735,37,null,3,null,null,1,2,3
37,2,1,662,40,1,null,0,3,null,null,null
37,3,0,314,40,0,null,null,null,2,null,2
38,1,1,810,40,null,2,null,0,null,null,3
38,0,0,775,40,null,3,null,null,1,2,3
38,2,1,699,37,1,null,0,3,null,null,null
38,3,0,354,40,0,null,null,null,2,null,2
39,1,1,850,40,null,2,null,0,null,null,3
39,0,0,815,40,null,3,null,null,1,2,3
39,2,1,739,40,1,null,0,3,null,null,null
39,3,0,394,40,0,null,null,null,2,null,2
40,1,1,890,40,null,2,null,0,null,null,3
40,0,0,855,40,null,3,null,null,1,2,3
40,2,1,779,40,1,null,0,3,null,null,null
40,3,0,434,40,0,null,null,null,2,null,2
41,1,1,930,40,null,2,null,0,null,null,3
41,0,0,895,40,null,3,null,null,1,2,3
41,2,1,819,40,1,null,0,3,null,null,null
41,3,0,474,40,0,null,null,null,2,null,2
42,1,1,967,37,null,2,null,0,null,null,3
42,0,0,935,40,null,3,null,null,1,2,3
42,2,1,859,40,1,null,0,3,null,null,null
42,3,0,514,40,0,null,null,null,2,null,2
43,1,1,1007,40,null,2,null,0,null,null,3
43,0,0,972,37,null,3,null,null,1,2,3
43,2,1,899,40,1,null,0,3,null,null,null
43,3,0,554,40,0,null,null,null,2,null,2
44,1,1,1047,40,null,2,null,0,null,null,3
44,0,0,1006,34,null,3,null,null,1,2,3
44,2,1,939,40,1,null,0,3,null,null,null
44,3,0,591,37,0,null,null,null,2,null,2
45,1,1,1084,37,null,2,null,0,null,null,3
45,0,0,1046,40,null,3,null,null,1,2,3
45,2,1,979,40,1,null,0,3,null,null,null
45,3,0,631,40,0,null,null,null,2,null,2
46,1,1,1124,40,null,2,null,0,null,null,3
46,0,0,1086,40,null,3,null,null,1,2,3
46,2,1,1019,40,1,null,0,3,null,null,null
46,3,0,661,30,0,null,null,null,2,null,2
47,1,1,1164,40,null,2,null,0,null,null,3
47,0,0,1126,40,null,3,null,null,1,2,3
47,2,1,1056,37,1,null,0,3,null,null,null
47,3,0,661,0,0,null,null,null,2,null,2
48,1,1,1204,40,null,2,null,0,null,null,5
48,0,0,1166,40,null,3,null,null,1,2,3
48,2,1,1096,40,1,null,0,3,null,null,3
48,3,0,661,0,0,null,null,null,2,null,2
49,1,1,1244,40,null,2,null,0,null,null,5
49,0,0,1206,40,null,3,null,null,1,2,5
49,2,1,1136,40,1,null,0,3,null,null,3
49,3,0,661,0,0,null,null,null,2,null,2
50,1,1,1284,40,null,2,null,0,null,null,5
50,0,0,1246,40,null,3,null,null,1,2,5
50,2,1,1176,40,1,null,0,3,null,null,3
50,3,0,661,0,0,null,null,null,2,null,2
51,1,1,1324,40,null,2,null,0,null,null,5
51,0,0,1286,40,null,3,null,null,1,2,5
51,2,1,1216,40,1,null,0,3,null,null,null
51,3,0,661,0,0,null,null,null,2,null,2
52,1,1,1361,37,null,2,null,0,null,null,5
52,0,0,1323,37,null,3,null,null,1,2,5
52,2,1,1256,40,1,null,0,3,null,null,null
52,3,0,661,0,0,null,null,null,2,null,2
53,1,1,1395,34,null,2,null,0,null,null,5
53,0,0,1357,34,null,3,null,null,1,2,5
53,2,1,1296,40,1,null,0,3,null,null,null
53,3,0,661,0,0,null,null,null,2,null,2
54,1,1,1435,40,null,2,null,0,null,null,5
54,0,0,1397,40,null,3,null,null,1,2,5
54,2,1,1336,40,1,null,0,3,null,null,null
54,3,0,661,0,0,null,null,null,2,null,2
55,1,1,1475,40,null,2,null,0,null,null,5
55,0,0,1437,40,null,3,null,null,1,2,5
55,2,1,1376,40,1,null,0,3,null,null,null
55,3,0,661,0,0,null,null,null,2,null,2
56,1,1,1512,37,null,2,null,0,null,null,5
56,0,0,1477,40,null,3,null,null,1,2,5
56,2,1,1416,40,1,null,0,3,null,null,null
56,3,0,661,0,0,null,null,null,2,null,2
57,1,1,1546,34,null,2,null,0,null,null,5
57,0,0,1514,37,null,3,null,null,1,2,5
57,2,1,1456,40,1,null,0,3,null,null,null
57,3,0,661,0,0,null,null,null,2,null,2
58,1,1,1586,40,null,2,null,0,null,null,5
58,0,0,1554,40,null,3,null,null,1,2,5
58,2,1,1496,40,1,null,0,3,null,null,null
58,3,0,661,0,0,null,null,null,2,null,2
59,1,1,1623,37,null,2,null,0,null,null,5
59,0,0,1594,40,null,3,null,null,1,2,5
59,2,1,1536,40,1,null,0,3,null,null,null
59,3,0,661,0,0,null,null,null,2,null,2
60,1,1,1657,34,null,2,null,0,null,null,5
60,0,0,1631,37,null,3,null,null,1,2,5
60,2,1,1576,40,1,null,0,3,null,null,null
60,3,0,661,0,0,null,null,null,2,null,2
61,1,1,1697,40,null,2,null,0,null,null,5
61,0,0,1665,34,null,3,null,null,1,2,5
61,2,1,1616,40,1,null,0,3,null,null,null
61,3,0,661,0,0,null,null,null,2,null,2
62,1,1,1737,40,null,2,null,0,null,null,5
62,0,0,1705,40,null,3,null,null,1,2,5
62,2,1,1656,40,1,null,0,3,null,null,null
62,3,0,661,0,0,null,null,null,2,null,2
63,1,1,1777,40,null,2,null,0,null,null,5
63,0,0,1745,40,null,3,null,null,1,2,5
63,2,1,1696,40,1,null,0,3,null,null,null
63,3,0,661,0,0,null,null,null,2,null,2
64,1,1,1817,40,null,2,null,0,null,null,5
64,0,0,1785,40,null,3,null,null,1,2,5
64,2,1,1733,37,1,null,0,3,null,null,null
64,3,0,661,0,0,null,null,null,2,null,2
65,1,1,1857,40,null,2,null,0,null,null,5
65,0,0,1825,40,null,3,null,null,1,2,5
65,2,1,1773,40,1,null,0,3,null,null,null
65,3,0,661,0,0,null,null,null,2,null,2
66,1,1,1897,40,null,2,null,0,null,null,5
66,0,0,1865,40,null,3,null,null,1,2,5
66,2,1,1813,40,1,null,0,3,null,null,null
66,3,0,661,0,0,null,null,null,2,null,2
67,1,1,1937,40,null,2,null,0,null,null,5
67,0,0,1905,40,null,3,null,null,1,2,5
67,2,1,1850,37,1,null,0,3,null,null,null
67,3,0,661,0,0,null,null,null,2,null,2
68,1,1,1977,40,null,2,null,0,null,null,5
68,0,0,1942,37,null,3,null,null,1,2,5
68,2,1,1884,34,1,null,0,3,null,null,null
68,3,0,661,0,0,null,null,null,2,null,2
69,1,1,2017,40,null,2,null,0,null,null,5
69,0,0,1976,34,null,3,null,null,1,2,5
69,2,1,1924,40,1,null,0,3,null,null,null
69,3,0,661,0,0,null,null,null,2,null,2
70,1,1,2040,23,null,2,null,0,null,null,5
70,0,0,2007,31,null,3,null,null,1,2,5
70,2,1,1964,40,1,null,0,3,null,null,null
70,3,0,661,0,0,null,null,null,2,null,2
71,1,1,2040,0,null,2,null,0,null,null,5
71,0,0,2040,33,null,3,null,null,1,2,5
71,2,1,2004,40,1,null,0,3,null,null,null
71,3,0,661,0,0,null,null,null,2,null,2
72,1,1,2040,0,null,2,null,0,null,null,5
72,0,0,2040,0,null,3,null,null,1,2,5
72,2,1,2025,21,1,null,0,3,null,null,null
72,3,0,661,0,0,null,null,null,2,null,2
73,1,1,2040,0,null,2,null,0,null,null,5
73,0,0,2040,0,null,3,null,null,1,2,5
73,2,1,2025,0,1,null,0,3,null,null,null
73,3,0,661,0,0,null,null,null,2,null,2
74,1,1,2040,0,null,2,null,0,null,null,5
74,0,0,2040,0,null,3,null,null,1,2,5
74,2,1,2025,0,1,null,0,3,null,null,null
74,3,0,661,0,0,null,null,null,2,null,2
75,1,1,2040,0,null,2,null,0,null,null,5
75,0,0,2040,0,null,3,null,null,1,2,5
75,2,1,2025,0,1,null,0,3,null,null,null
75,3,0,661,0,0,null,null,null,2,null,2
76,1,1,2040,0,null,2,null,0,null,null,5
76,0,0,2040,0,null,3,null,null,1,2,5
76,2,1,2025,0,1,null,0,3,null,null,null
76,3,0,661,0,0,null,null,null,2,null,2
77,1,1,2040,0,null,2,null,0,null,null,5
77,0,0,2040,0,null,3,null,null,1,2,5
77,2,1,2025,0,1,null,0,3,null,null,null
77,3,0,661,0,0,null,null,null,2,null,2
78,1,1,2040,0,null,2,null,0,null,null,5
78,0,0,2040,0,null,3,null,null,1,2,5
78,2,1,2025,0,1,null,0,3,null,null,null
78,3,0,661,0,0,null,null,null,2,null,2
79,1,1,2040,0,null,2,null,0,null,null,5
79,0,0,2040,0,null,3,null,null,1,2,5
79,2,1,2025,0,1,null,0,3,null,null,null
79,3,0,661,0,0,null,null,null,2,null,2
80,1,1,2040,0,null,2,null,0,null,null,5
80,0,0,2040,0,null,3,null,null,1,2,5
80,2,1,2025,0,1,null,0,3,null,null,null
80,3,0,661,0,0,null,null,null,2,null,2
81,1,1,2040,0,null,2,null,0,null,null,5
81,0,0,2040,0,null,3,null,null,1,2,5
81,2,1,2025,0,1,null,0,3,null,null,null
81,3,0,661,0,0,null,null,null,2,null,2
82,1,1,2040,0,null,2,null,0,null,null,5
82,0,0,2040,0,null,3,null,null,1,2,5
82,2,1,2025,0,1,null,0,3,null,null,null
82,3,0,661,0,0,null,null,null,2,null,2
83,1,1,2040,0,null,2,null,0,null,null,5
83,0,0,2040,0,null,3,null,null,1,2,5
83,2,1,2025,0,1,null,0,3,null,null,null
83,3,0,661,0,0,null,null,null,2,null,2
84,1,1,2040,0,null,2,null,0,null,null,5
84,0,0,2040,0,null,3,null,null,1,2,5
84,2,1,2025,0,1,null,0,3,null,null,null
84,3,0,661,0,0,null,null,null,2,null,2
85,1,1,2040,0,null,2,null,0,null,null,5
85,0,0,2040,0,null,3,null,null,1,2,5
85,2,1,2025,0,1,null,0,3,null,null,null
85,3,0,661,0,0,null,null,null,2,null,2
86,1,1,2040,0,null,2,null,0,null,null,5
86,0,0,2040,0,null,3,null,null,1,2,5
86,2,1,2025,0,1,null,0,3,null,null,null
86,3,0,661,0,0,null,null,null,2,null,2
87,1,1,2040,0,null,2,null,0,null,null,5
87,0,0,2040,0,null,3,null,null,1,2,5
87,2,1,2025,0,1,null,0,3,null,null,null
87,3,0,661,0,0,null,null,null,2,null,2
88,1,1,2040,0,null,2,null,0,null,null,5
88,0,0,2040,0,null,3,null,null,1,2,5
88,2,1,2025,0,1,null,0,3,null,null,null
88,3,0,661,0,0,null,null,null,2,null,2
89,1,1,2040,0,null,2,null,0,null,null,5
89,0,0,2040,0,null,3,null,null,1,2,5
89,2,1,2025,0,1,null,0,3,null,null,null
89,3,0,661,0,0,null,null,null,2,null,2
90,1,1,2040,0,null,2,null,0,null,null,5
90,0,0,2040,0,null,3,null,null,1,2,5
90,2,1,2025,0,1,null,0,3,null,null,null
90,3,0,661,0,0,null,null,null,2,null,2
91,1,1,2040,0,null,2,null,0,null,null,5
91,0,0,2040,0,null,3,null,null,1,2,5
91,2,1,2025,0,1,null,0,3,null,null,null
91,3,0,661,0,0,null,null,null,2,null,2
92,1,1,2040,0,null,2,null,0,null,null,5
92,0,0,2040,0,null,3,null,null,1,2,5
92,2,1,2025,0,1,null,0,3,null,null,null
92,3,0,661,0,0,null,null,null,2,null,2
93,1,1,2040,0,null,2,null,0,null,null,5
93,0,0,2040,0,null,3,null,null,1,2,5
93,2,1,2025,0,1,null,0,3,null,null,null
93,3,0,661,0,0,null,null,null,2,null,2
94,1,1,2040,0,null,2,null,0,null,null,5
94,0,0,2040,0,null,3,null,null,1,2,5
94,2,1,2025,0,1,null,0,3,null,null,null
94,3,0,661,0,0,null,null,null,2,null,2
95,1,1,2040,0,null,2,null,0,null,null,5
95,0,0,2040,0,null,3,null,null,1,2,5
95,2,1,2025,0,1,null,0,3,null,null,null
95,3,0,661,0,0,null,null,null,2,null,2
96,1,1,2040,0,null,2,null,0,null,null,5
96,0,0,2040,0,null,3,null,null,1,2,5
96,2,1,2025,0,1,null,0,3,null,null,null
96,3,0,661,0,0,null,null,null,2,null,2
97,1,1,2040,0,null,2,null,0,null,null,5
97,0,0,2040,0,null,3,null,null,1,2,5
97,2,1,2025,0,1,null,0,3,null,null,null
97,3,0,661,0,0,null,null,null,2,null,2
98,1,1,2040,0,null,2,null,0,null,null,5
98,0,0,2040,0,null,3,null,null,1,2,5
98,2,1,2025,0,1,null,0,3,null,null,null
98,3,0,661,0,0,null,null,null,2,null,2
99,1,1,2040,0,null,2,null,0,null,null,5
99,0,0,2040,0,null,3,null,null,1,2,5
99,2,1,2025,0,1,null,0,3,null,null,null
99,3,0,661,0,0,null,null,null,2,null,2
100,1,1,2040,0,null,2,null,0,null,null,5
100,0,0,2040,0,null,3,null,null,1,2,5
100,2,1,2025,0,1,null,0,3,null,null,null
100,3,0,661,0,0,null,null,null,2,null,2
101,1,1,2040,0,null,2,null,0,null,null,5
101,0,0,2040,0,null,3,null,null,1,2,5
101,2,1,2025,0,1,null,0,3,null,null,null
101,3,0,661,0,0,null,null,null,2,null,2
102,1,1,2040,0,null,2,null,0,null,null,5
102,0,0,2040,0,null,3,null,null,1,2,5
102,2,1,2025,0,1,null,0,3,null,null,null
102,3,0,667,6,0,null,null,null,2,null,3
103,1,1,2040,0,null,2,null,0,null,null,5
103,0,0,2040,0,null,3,null,null,1,2,5
103,2,1,2025,0,1,null,0,3,null,null,null
103,3,0,679,12,0,null,null,null,2,null,3
104,1,1,2040,0,null,2,null,0,null,null,5
104,0,0,2040,0,null,3,null,null,1,2,5
104,2,1,2025,0,1,null,0,3,null,null,null
104,3,0,697,18,0,null,null,null,2,null,3
105,1,1,2040,0,null,2,null,0,null,null,5
105,0,0,2040,0,null,3,null,null,1,2,5
105,2,1,2025,0,1,null,0,3,null,null,null
105,3,0,721,24,0,null,null,null,2,null,3
106,1,1,2040,0,null,2,null,0,null,null,5
106,0,0,2040,0,null,3,null,null,1,2,5
106,2,1,2025,0,1,null,0,3,null,null,null
106,3,0,751,30,0,null,null,null,2,null,3
107,1,1,2040,0,null,2,null,0,null,null,5
107,0,0,2040,0,null,3,null,null,1,2,5
107,2,1,2025,0,1,null,0,3,null,null,null
107,3,0,787,36,0,null,null,null,2,null,3
108,1,1,2040,0,null,2,null,0,null,null,5
108,0,0,2040,0,null,3,null,null,1,2,5
108,2,1,2025,0,1,null,0,3,null,null,null
108,3,0,827,40,0,null,null,null,2,null,3
109,1,1,2040,0,null,2,null,0,null,null,5
109,0,0,2040,0,null,3,null,null,1,2,5
109,2,1,2025,0,1,null,0,3,null,null,null
109,3,0,864,37,0,null,null,null,2,null,3
110,1,1,2040,0,null,2,null,0,null,null,5
110,0,0,2040,0,null,3,null,null,1,2,5
110,2,1,2025,0,1,null,0,3,null,null,null
110,3,0,904,40,0,null,null,null,2,null,3
111,1,1,2040,0,null,2,null,0,null,null,5
111,0,0,2040,0,null,3,null,null,1,2,5
111,2,1,2025,0,1,null,0,3,null,null,null
111,3,0,944,40,0,null,null,null,2,null,3
112,1,1,2040,0,null,2,null,0,null,null,5
112,0,0,2040,0,null,3,null,null,1,2,5
112,2,1,2025,0,1,null,0,3,null,null,null
112,3,0,984,40,0,null,null,null,2,null,3
113,1,1,2040,0,null,2,null,0,null,null,5
113,0,0,2040,0,null,3,null,null,1,2,5
113,2,1,2025,0,1,null,0,3,null,null,null
113,3,0,1024,40,0,null,null,null,2,null,3
114,1,1,2040,0,null,2,null,0,null,null,5
114,0,0,2040,0,null,3,null,null,1,2,5
114,2,1,2025,0,1,null,0,3,null,null,null
114,3,0,1064,40,0,null,null,null,2,null,3
115,1,1,2040,0,null,2,null,0,null,null,5
115,0,0,2040,0,null,3,null,null,1,2,5
115,2,1,2025,0,1,null,0,3,null,null,null
115,3,0,1104,40,0,null,null,null,2,null,3
116,1,1,2040,0,null,2,null,0,null,null,5
116,0,0,2040,0,null,3,null,null,1,2,5
116,2,1,2025,0,1,null,0,3,null,null,null
116,3,0,1144,40,0,null,null,null,2,null,3
117,1,1,2046,6,null,2,null,0,null,null,null
117,0,0,2046,6,null,3,null,null,1,2,null
117,2,1,2025,0,1,null,0,3,null,null,5
117,3,0,1184,40,0,null,null,null,2,null,3
118,1,1,2058,12,null,2,null,0,null,null,null
118,0,0,2058,12,null,3,null,null,1,2,null
118,2,1,2031,6,1,null,0,3,null,null,5
118,3,0,1224,40,0,null,null,null,2,null,5
119,1,1,2076,18,null,2,null,0,null,null,null
119,0,0,2076,18,null,3,null,null,1,2,null
119,2,1,2043,12,1,null,0,3,null,null,null
119,3,0,1264,40,0,null,null,null,2,null,5
120,1,1,2100,24,null,2,null,0,null,null,null
120,0,0,2091,15,null,3,null,null,1,2,null
120,2,1,2061,18,1,null,0,3,null,null,null
120,3,0,1304,40,0,null,null,null,2,null,5
121,1,1,2130,30,null,2,null,0,null,null,null
121,0,0,2103,12,null,3,null,null,1,2,null
121,2,1,2085,24,1,null,0,3,null,null,null
121,3,0,1344,40,0,null,null,null,2,null,5
122,1,1,2166,36,null,2,null,0,null,null,null
122,0,0,2121,18,null,3,null,null,1,2,null
122,2,1,2115,30,1,null,0,3,null,null,null
122,3,0,1384,40,0,null,null,null,2,null,5
123,2,1,2151,36,null,null,null,0,null,null,null
123,0,0,2145,24,null,3,null,null,2,null,null
123,3,0,1421,37,0,null,null,null,2,null,5
124,2,1,2191,40,null,null,null,0,null,null,null
124,0,0,2166,21,null,3,null,null,2,null,null
124,3,0,1461,40,0,null,null,null,2,null,5
125,3,0,1498,37,null,null,null,null,null,null,5
126,3,0,1538,40,null,null,null,null,null,null,5
127,3,0,1578,40,null,null,null,null,null,null,5
128,3,0,1618,40,null,null,null,null,null,null,5
129,3,0,1658,40,null,null,null,null,null,null,5
130,3,0,1695,37,null,null,null,null,null,null,5
131,3,0,1735,40,null,null,null,null,null,null,5
132,3,0,1775,40,null,null,null,null,null,null,5
133,3,0,1815,40,null,null,null,null,null,null,5
134,3,0,1852,37,null,null,null,null,null,null,5
135,3,0,1892,40,null,null,null,null,null,null,5
136,3,0,1929,37,null,null,null,null,null,null,5
137,3,0,1969,40,null,null,null,null,null,null,5
138,3,0,2009,40,null,null,null,null,null,null,5
139,3,0,2046,37,null,null,null,null,null,null,null
140,3,0,2086,40,null,null,null,null,null,null,null
141,3,0,2126,40,null,null,null,null,null,null,null
142,3,0,2166,40,null,null,null,null,null,null,null
170,4,0,21,20,null,null,null,null,null,null,1
171,4,0,38,17,null,null,null,null,null,null,1
172,4,0,61,23,null,null,null,null,null,5,1
172,5,1,30,29,null,null,4,null,null,null,1
173,4,0,90,29,null,null,null,null,null,5,1
173,5,1,65,35,null,null,4,null,null,null,1
174,4,0,116,26,null,null,null,null,null,5,1
174,5,1,105,40,null,null,4,null,null,null,1
175,4,0,143,27,null,null,null,null,null,5,1
175,5,1,143,38,null,null,4,null,null,null,1
176,4,0,143,0,null,null,null,null,null,5,1
176,5,1,143,0,null,null,4,null,null,null,1
177,4,0,143,0,null,6,null,null,null,5,1
177,5,1,143,0,null,null,4,6,null,null,1
177,6,0,30,29,4,null,null,null,5,null,null
178,4,0,143,0,null,6,null,null,null,5,1
178,5,1,143,0,null,null,4,6,null,null,1
178,6,0,65,35,4,7,null,null,5,null,null
178,7,0,30,29,6,null,null,null,5,null,null
179,4,0,143,0,null,6,null,null,null,5,1
179,5,1,143,0,null,7,4,6,null,null,1
179,6,0,97,32,4,null,null,null,5,7,null
179,7,1,50,20,5,null,6,null,null,null,null
180,4,0,143,0,null,6,null,null,null,5,1
180,5,1,143,0,null,7,4,6,null,null,1
180,6,0,128,31,4,null,null,null,5,7,null
180,7,1,76,26,5,null,6,null,null,null,null
181,4,0,143,0,null,6,null,null,null,5,1
181,5,1,143,0,null,7,4,6,null,null,1
181,6,0,128,0,4,null,null,null,5,7,null
181,7,1,108,32,5,null,6,null,null,null,null
182,4,0,143,0,null,6,null,null,null,5,1
182,5,1,143,0,null,7,4,6,null,null,1
182,6,0,128,0,4,null,null,null,5,7,null
182,7,1,128,20,5,null,6,null,null,null,null
183,4,0,143,0,null,6,null,null,null,5,1
183,5,1,143,0,null,7,4,6,null,null,1
183,6,0,128,0,4,null,null,null,5,7,null
183,7,1,128,0,5,8,6,null,null,null,null
183,8,1,21,20,7,null,6,null,null,null,null
184,4,0,143,0,null,6,null,null,null,5,1
184,5,1,143,0,null,7,4,6,null,null,1
184,6,0,128,0,4,null,null,null,5,7,null
184,7,1,128,0,5,8,6,null,null,null,null
184,8,1,38,17,7,null,6,null,null,null,null
185,4,0,143,0,null,6,null,null,null,5,1
185,5,1,143,0,null,7,4,6,null,null,1
185,6,0,128,0,4,null,null,null,5,7,null
185,7,1,128,0,5,8,6,null,null,null,null
185,8,1,61,23,7,null,6,null,null,null,null
186,4,0,143,0,null,6,null,null,null,5,1
186,5,1,143,0,null,7,4,6,null,null,1
186,6,0,128,0,4,null,null,null,5,7,null
186,7,1,128,0,5,8,6,null,null,null,null
186,8,1,90,29,7,9,6,null,null,null,null
186,9,1,30,29,8,null,6,null,null,null,null
187,4,0,143,0,null,6,null,null,null,5,1
187,5,1,143,0,null,7,4,6,null,null,1
187,6,0,128,0,4,null,null,null,5,7,null
187,7,1,128,0,5,8,6,null,null,null,null
187,8,1,113,23,7,9,6,null,null,null,null
187,9,1,65,35,8,null,6,null,null,null,null
188,4,0,143,0,null,6,null,null,null,5,1
188,5,1,143,0,null,7,4,6,null,null,1
188,6,0,128,0,4,null,null,null,5,7,null
188,7,1,128,0,5,8,6,null,null,null,null
188,8,1,113,0,7,9,6,null,null,null,null
188,9,1,97,32,8,null,6,null,null,null,null
189,4,0,143,0,null,6,null,null,null,5,1
189,5,1,143,0,null,7,4,6,null,null,1
189,6,0,128,0,4,null,null,null,5,7,null
189,7,1,128,0,5,8,6,null,null,null,null
189,8,1,113,0,7,9,6,null,null,null,null
189,9,1,98,1,8,null,6,null,null,null,null
190,4,0,143,0,null,6,null,null,null,5,1
190,5,1,143,0,null,7,4,6,null,null,1
190,6,0,128,0,4,10,null,null,5,7,null
190,7,1,128,0,5,8,6,10,null,null,null
190,8,1,113,0,7,9,6,10,null,null,null
190,9,1,98,0,8,null,6,10,null,null,null
190,10,0,30,29,6,null,null,null,9,null,null
191,4,0,143,0,null,6,null,null,null,5,1
191,5,1,143,0,null,7,4,6,null,null,1
191,6,0,128,0,4,10,null,null,5,7,null
191,7,1,128,0,5,8,6,10,null,null,null
191,8,1,113,0,7,9,6,10,null,null,null
191,9,1,98,0,8,null,6,10,null,null,null
191,10,0,56,26,6,null,null,null,9,null,null
192,4,0,143,0,null,6,null,null,null,5,1
192,5,1,143,0,null,7,4,6,null,null,1
192,6,0,128,0,4,9,null,null,5,7,null
192,7,1,128,0,5,8,6,9,null,null,null
192,8,1,113,0,7,null,6,9,null,null,null
192,9,0,98,0,6,10,null,null,8,null,null
192,10,0,88,32,9,null,null,null,8,null,null
193,4,0,143,0,null,6,null,null,null,5,1
193,5,1,143,0,null,7,4,6,null,null,1
193,6,0,128,0,4,9,null,null,5,7,null
193,7,1,128,0,5,8,6,9,null,null,null
193,8,1,113,0,7,null,6,9,null,null,null
193,9,0,104,6,6,10,null,null,8,null,null
193,10,0,83,-5,9,null,null,null,8,null,null
194,4,0,143,0,null,6,null,null,null,5,1
194,5,1,143,0,null,7,4,6,null,null,1
194,6,0,128,0,4,9,null,null,5,7,null
194,7,1,128,0,5,8,6,9,null,null,null
194,8,1,113,0,7,null,6,9,null,null,null
194,9,0,107,3,6,10,null,null,8,null,null
194,10,0,84,1,9,null,null,null,8,null,null
195,4,0,143,0,null,6,null,null,null,5,1
195,5,1,143,0,null,7,4,6,null,null,1
195,6,0,128,0,4,9,null,null,5,7,null
195,7,1,128,0,5,8,6,9,null,null,null
195,8,1,113,0,7,null,6,9,null,null,null
195,9,0,107,0,6,10,null,null,8,null,null
195,10,0,91,7,9,null,null,null,8,null,null
196,4,0,143,0,null,6,null,null,null,5,1
196,5,1,143,0,null,7,4,6,null,null,1
196,6,0,128,0,4,9,null,null,5,7,null
196,7,1,128,0,5,8,6,9,null,null,null
196,8,1,113,0,7,11,6,9,null,null,null
196,9,0,113,6,6,10,null,null,8,11,null
196,10,0,92,1,9,null,null,null,8,11,null
196,11,1,21,20,8,null,10,null,null,null,null
197,4,0,143,0,null,6,null,null,null,5,1
197,5,1,143,0,null,7,4,6,null,null,1
197,6,0,128,0,4,9,null,null,5,7,null
197,7,1,128,0,5,8,6,9,null,null,null
197,8,1,113,0,7,11,6,9,null,null,null
197,9,0,113,0,6,10,null,null,8,11,null
